latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-34.20993,148.04114,343.74,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,302.36,19.45,D,0
-34.20908,148.04533,356.55,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,300.74,19.45,D,0
-34.20712,147.95155,337.38,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,301.44,256.12,D,0
-34.20044,147.94301,336.99,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.74,145.36,D,0
-34.1916,147.70068,340.41,0.56,0.43,2026-04-09,428,N,VIIRS,n,2,296.3,10.07,D,0
-34.1906,147.69846,339.22,0.56,0.43,2026-04-09,428,N,VIIRS,n,2,297.64,9.47,D,0
-34.18817,147.90024,337.33,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,301.31,4.99,D,0
-34.18553,148.25395,356.96,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,303.87,12.89,D,0
-34.18435,148.24933,347.21,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,302.9,10.26,D,0
-34.18419,147.89909,347.99,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,302.95,11.1,D,0
-34.18344,148.25372,354.47,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,299.25,10.26,D,0
-34.18242,148.24838,348.52,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,300.98,12.89,D,0
-34.1535,147.21202,333.46,0.53,0.42,2026-04-09,428,N,VIIRS,l,2,304.17,8.94,D,0
-34.1508,147.20515,348.89,0.53,0.42,2026-04-09,428,N,VIIRS,n,2,307.63,8.94,D,0
-34.14966,147.21094,346.19,0.53,0.42,2026-04-09,428,N,VIIRS,n,2,305.67,8.94,D,0
-34.14852,147.21671,330.29,0.53,0.42,2026-04-09,428,N,VIIRS,n,2,304.59,6.87,D,0
-34.14696,147.20409,339.38,0.53,0.42,2026-04-09,428,N,VIIRS,n,2,304.63,12.93,D,0
-34.14581,147.20987,367,0.53,0.42,2026-04-09,428,N,VIIRS,h,2,309.67,12.93,D,0
-34.13264,148.22984,351.48,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,310.33,101.38,D,0
-34.13174,148.23413,367,0.4,0.44,2026-04-09,428,N,VIIRS,l,2,325.83,85.78,D,0
-34.1277,148.23293,354.28,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,305.39,85.78,D,0
-34.10557,147.93224,344.76,0.38,0.43,2026-04-09,428,N,VIIRS,n,2,303.04,3.51,D,0
-34.10473,147.93639,337.16,0.38,0.43,2026-04-09,428,N,VIIRS,n,2,301.38,3.51,D,0
-34.09359,148.27269,341.44,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,302.98,7.16,D,0
-34.09268,148.27699,346.55,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,303.96,9.4,D,0
-34.09132,148.10551,341.39,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,301.85,5.13,D,0
-34.09045,148.10971,338.61,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,301.39,5.13,D,0
-34.08919,147.31004,339.4,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,307.03,4.73,D,0
-34.08865,148.27571,342.97,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,313.66,50.29,D,0
-34.08801,147.31589,332.62,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,304.95,4.73,D,0
-34.08649,147.3031,356.58,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,306.71,22.26,D,0
-34.08532,147.30893,355.7,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,310.62,22.53,D,0
-34.08415,147.31474,338.58,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,307.28,22.53,D,0
-34.08263,147.30197,346.28,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,309.47,22.26,D,0
-34.08146,147.30782,346.08,0.54,0.42,2026-04-09,428,N,VIIRS,n,2,306.72,22.53,D,0
-34.01406,146.74669,331.64,0.51,0.41,2026-04-09,428,N,VIIRS,l,2,305.55,7,D,0
-33.99761,148.26805,347.98,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,300.39,8.16,D,0
-33.97638,149.7993,332.49,0.48,0.48,2026-04-09,428,N,VIIRS,n,2,293.33,5.27,D,0
-33.96573,148.16393,331.26,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,300.66,3.66,D,0
-33.94965,148.74481,332.16,0.42,0.45,2026-04-09,428,N,VIIRS,n,2,300.75,5.71,D,0
-33.94547,148.74362,354.51,0.42,0.45,2026-04-09,428,N,VIIRS,n,2,300.24,5.71,D,0
-33.91621,146.58475,348.62,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,288.06,27.66,D,0
-33.91351,146.57829,367,0.5,0.41,2026-04-09,428,N,VIIRS,h,2,347,377.69,D,0
-33.91246,146.58369,353.8,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,292.09,27.66,D,0
-33.84774,150.49144,328.59,0.52,0.5,2026-04-09,428,N,VIIRS,n,2,292.33,9.19,D,0
-33.84187,150.49562,327.16,0.53,0.5,2026-04-09,428,N,VIIRS,n,2,292.83,9.36,D,0
-33.84116,150.47736,327.63,0.52,0.5,2026-04-09,428,N,VIIRS,n,2,293.44,3.16,D,0
-33.8399,150.48282,334.61,0.52,0.5,2026-04-09,428,N,VIIRS,n,2,293.96,5.3,D,0
-33.8386,150.48846,331.4,0.52,0.5,2026-04-09,428,N,VIIRS,n,2,293.23,5.3,D,0
-33.79289,148.09605,344.09,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,303.3,6.12,D,0
-33.79283,147.35483,335.45,0.55,0.42,2026-04-09,428,N,VIIRS,n,2,303.53,3.68,D,0
-33.78974,148.09065,346.36,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,304.26,8.31,D,0
